Date,Open,High,Low,Close,Volume
1993-08-09,9.85,10.3,9.5,10.1,11595
1993-08-10,10.2,10.8,10.2,10.7,13342
1993-08-11,10.55,12.7,10.5,12.7,11203
1993-08-12,12.7,12.8,12.1,12.55,17143
1993-08-13,12.55,14.05,12.5,14.05,14426
1993-08-16,14.2,17.0,14.2,17.0,17251
1993-08-17,17.0,17.0,14.5,14.5,19383
1993-08-18,14.35,15.5,13.0,14.75,16326
1993-08-19,14.75,14.9,13.8,14.15,6388
1993-08-20,14.0,14.0,13.05,13.45,6494
1993-08-23,13.3,13.3,12.3,12.35,7035
1993-08-24,12.2,14.65,11.5,14.6,16645
1993-08-25,14.5,14.55,13.6,14.0,18020
1993-08-26,13.85,14.5,13.5,13.9,6728
1993-08-27,13.9,14.3,13.45,13.6,6233
1993-08-30,13.45,14.3,13.2,13.9,6543
1993-09-01,13.75,13.75,12.4,12.95,17198
1993-09-02,12.8,12.85,12.45,12.75,5407
1993-09-03,12.6,12.8,12.4,12.8,5213
1993-09-06,12.95,13.0,12.45,12.5,2682
1993-09-07,12.35,12.65,12.3,12.35,1687
1993-09-08,12.2,12.2,11.9,12.0,2524
1993-09-09,12.0,12.0,11.85,11.9,1552
1993-09-10,12.0,12.0,11.4,11.6,1948
1993-09-13,11.45,11.45,10.8,10.85,2913
1993-09-14,10.8,11.2,10.5,11.15,2513
1993-09-15,11.3,11.3,10.95,11.0,1372
1993-09-16,10.95,11.1,10.8,10.85,1850
1993-09-20,10.7,11.6,10.5,11.5,3701
1993-09-21,11.5,11.8,11.1,11.2,3335
1993-09-22,11.2,11.6,11.2,11.35,1017
1993-09-23,11.5,11.8,11.4,11.5,2582
1993-09-24,10.6,11.1,10.5,10.9,2130
1993-09-27,11.0,11.1,10.95,11.0,638
1993-09-28,11.0,11.1,11.0,11.1,499
1993-09-29,11.25,11.5,11.1,11.35,1145
1993-09-30,11.45,11.45,10.6,11.2,487
1993-10-04,11.35,11.35,11.2,11.35,1709
1993-10-05,11.5,11.7,11.35,11.4,3542
1993-10-06,11.4,11.4,11.0,11.15,1347
1993-10-07,11.15,11.4,11.0,11.1,697
1993-10-08,11.25,11.3,10.95,11.0,960
1993-10-11,10.85,10.95,10.7,10.75,1315
1993-10-12,10.75,10.9,10.7,10.8,696
1993-10-13,10.8,10.9,10.5,10.6,820
1993-10-14,10.5,10.6,10.5,10.55,914
1993-10-15,10.5,10.75,10.5,10.65,635
1993-10-18,10.6,10.6,10.1,10.2,983
1993-10-19,10.1,10.35,10.0,10.1,1557
1993-10-20,10.1,10.25,9.8,10.0,706
1993-10-21,10.0,10.15,10.0,10.0,532
1993-10-22,9.95,9.95,9.7,9.8,986
1993-10-25,9.8,9.8,9.4,9.4,1154
1993-10-26,9.3,9.4,9.0,9.4,1231
1993-10-27,9.4,9.75,9.05,9.45,1946
1993-10-28,9.45,9.8,9.15,9.8,1623
1993-10-29,9.8,10.0,9.4,9.45,1996
1993-11-01,9.3,9.4,9.1,9.25,524
1993-11-02,9.2,9.4,9.2,9.25,446
1993-11-03,9.3,9.3,9.15,9.2,414
1993-11-04,9.2,9.25,9.1,9.1,396
1993-11-05,9.1,9.2,9.05,9.15,370
1993-11-08,9.15,10.05,9.15,9.8,1841
1993-11-09,9.75,9.75,9.3,9.5,1751
1993-11-10,9.65,10.45,9.65,10.15,5139
1993-11-11,10.25,10.95,10.25,10.7,5240
1993-11-12,10.85,11.3,10.5,11.25,7099
1993-11-15,11.4,11.7,11.35,11.4,8266
1993-11-16,11.3,11.3,10.7,10.8,5228
1993-11-17,10.8,11.5,10.7,11.0,4374
1993-11-18,11.0,11.4,10.75,11.2,8250
1993-11-19,11.2,11.4,11.0,11.25,4588
1993-11-22,11.4,11.75,11.3,11.3,8635
1993-11-23,11.45,11.6,10.85,10.9,4033
1993-11-24,10.75,10.9,10.3,10.5,3223
1993-11-25,10.6,10.8,10.4,10.8,3650
1993-11-26,10.95,10.95,10.45,10.55,1940
1993-11-29,10.4,10.45,10.0,10.2,1486
1993-11-30,10.15,10.3,10.1,10.15,1390
1993-12-01,10.3,10.3,9.9,9.95,1257
1993-12-02,9.95,10.1,9.7,9.9,976
1993-12-03,9.9,10.0,9.7,9.7,1151
1993-12-06,9.7,10.0,9.7,9.95,939
1993-12-07,10.0,10.15,9.6,9.7,1222
1993-12-08,9.7,9.75,9.5,9.7,951
1993-12-09,9.85,9.9,9.65,9.8,665
1993-12-10,9.75,10.35,9.75,10.25,2968
1993-12-13,10.25,10.5,9.65,9.65,2238
1993-12-14,10.0,10.6,9.8,9.95,1425
1993-12-15,9.95,10.05,9.75,9.95,880
1993-12-16,10.15,10.2,9.8,9.8,1058
1993-12-17,9.75,9.8,9.4,9.6,1110
1993-12-20,9.5,9.5,8.7,8.85,3005
1993-12-21,8.95,9.1,8.75,9.1,1829
1993-12-22,9.15,9.15,8.85,8.85,1117
1993-12-23,8.8,8.8,8.65,8.65,797
1993-12-24,8.65,8.9,8.5,8.9,1075
1993-12-27,9.05,9.05,8.65,8.75,609
1993-12-28,8.65,8.7,8.55,8.55,585
1993-12-29,8.5,8.6,8.4,8.4,411
1993-12-30,8.4,8.75,8.35,8.5,526
1993-12-31,8.5,8.65,8.2,8.2,1142
1994-01-03,8.2,8.25,8.0,8.0,666
1994-01-04,8.0,8.05,7.8,7.8,429
1994-01-05,7.8,7.8,7.4,7.7,570
1994-01-06,7.7,8.25,7.65,8.25,1264
1994-01-07,8.4,8.5,8.2,8.4,2385
1994-01-10,8.5,8.65,8.4,8.45,1950
1994-01-11,8.5,8.5,8.15,8.15,751
1994-01-12,8.0,8.2,8.0,8.0,614
1994-01-13,8.1,8.2,8.0,8.1,436
1994-01-14,8.2,8.2,7.75,7.95,649
1994-01-17,8.0,8.0,7.75,7.8,636
1994-01-18,7.8,8.2,7.55,8.0,779
1994-01-19,8.0,8.0,7.5,7.65,854
1994-01-20,7.6,7.7,7.45,7.55,395
1994-01-21,7.8,7.8,7.5,7.65,673
