Date,Open,High,Low,Close,Volume,TurnoverRate
1993-09-29,11.5,11.8,11.05,11.6,14506.0,
1993-09-30,11.75,12.2,11.6,12.0,14223.0,
1993-10-04,12.15,13.5,12.15,13.3,21580.0,
1993-10-05,13.45,13.85,13.3,13.4,24114.0,
1993-10-06,13.3,13.45,12.8,13.0,10956.0,
1993-10-07,12.85,13.1,12.8,12.95,5664.0,
1993-10-08,12.9,12.9,12.6,12.65,4851.0,
1993-10-11,12.5,12.6,12.15,12.25,4531.0,
1993-10-12,12.1,12.5,12.1,12.45,3488.0,
1993-10-13,12.5,12.6,12.2,12.25,4136.0,
1993-10-14,12.2,12.3,12.2,12.2,3037.0,
1993-10-15,12.2,12.5,12.15,12.35,3451.0,
1993-10-18,12.35,12.35,11.85,11.9,3906.0,
1993-10-19,11.9,12.1,11.6,11.8,3364.0,
1993-10-20,11.8,11.95,11.6,11.7,1890.0,
1993-10-21,11.6,11.7,11.5,11.5,2174.0,
1993-10-22,11.5,11.5,11.25,11.4,3314.0,
1993-10-25,11.25,11.25,10.95,11.0,2925.0,
1993-10-26,10.85,11.0,10.8,11.0,2906.0,
1993-10-27,11.15,11.35,11.05,11.2,5118.0,
1993-10-28,11.15,11.6,10.95,11.6,2470.0,
1993-10-29,11.75,11.8,11.2,11.2,4066.0,
1993-11-01,11.05,11.2,11.0,11.0,1727.0,
1993-11-02,11.0,11.2,10.9,11.1,1286.0,
1993-11-03,11.1,11.15,10.9,10.95,1326.0,
1993-11-04,10.95,10.95,10.65,10.65,1639.0,
1993-11-05,10.65,10.7,10.55,10.7,1858.0,
1993-11-08,10.85,11.3,10.7,11.1,3584.0,
1993-11-09,11.05,11.1,10.7,10.8,2347.0,
1993-11-10,10.8,11.6,10.8,11.35,7266.0,
1993-11-11,11.5,12.5,11.5,12.0,14938.0,
1993-11-12,12.15,12.35,11.95,12.3,15484.0,
1993-11-15,12.45,12.8,12.45,12.45,16429.0,
1993-11-16,12.3,12.4,11.85,11.95,7881.0,
1993-11-17,11.95,12.35,11.95,12.0,8834.0,
1993-11-18,12.15,12.7,12.0,12.35,15030.0,
1993-11-19,12.5,13.5,12.5,13.45,42913.0,
1993-11-22,13.6,14.0,13.0,13.1,32254.0,
1993-11-23,13.05,13.1,12.5,12.55,10059.0,
1993-11-24,12.4,12.55,11.9,12.2,11326.0,
1993-11-25,12.2,12.6,12.1,12.45,6731.0,
1993-11-26,12.45,12.6,12.3,12.4,8104.0,
1993-11-29,12.3,12.35,12.1,12.3,5271.0,
1993-11-30,12.45,12.8,12.3,12.8,10586.0,
1993-12-01,12.85,12.9,12.2,12.3,5972.0,
1993-12-02,12.2,12.25,12.0,12.0,2823.0,
1993-12-03,12.0,12.3,11.9,12.1,2935.0,
1993-12-06,12.1,12.45,12.0,12.3,5046.0,
1993-12-07,12.4,12.8,11.95,12.1,2862.0,
1993-12-08,12.25,12.45,12.1,12.2,1613.0,
1993-12-09,12.2,12.35,12.1,12.2,1909.0,
1993-12-10,12.3,12.95,12.15,12.75,9174.0,
1993-12-13,12.85,13.1,12.0,12.2,8282.0,
1993-12-14,12.35,12.55,12.2,12.25,3362.0,
1993-12-15,12.25,12.5,12.0,12.45,2502.0,
1993-12-16,12.45,12.65,12.15,12.15,2262.0,
1993-12-17,12.1,12.3,12.0,12.05,2250.0,
1993-12-20,12.0,12.0,11.0,11.3,6379.0,
1993-12-21,11.3,11.3,11.0,11.25,3422.0,
1993-12-22,11.1,11.2,10.5,10.8,2421.0,
1993-12-23,10.5,10.85,10.45,10.5,2112.0,
1993-12-24,10.45,11.5,10.45,11.5,2722.0,
1993-12-27,11.8,11.8,11.0,11.05,6852.0,
1993-12-28,11.2,11.25,10.8,10.85,2920.0,
1993-12-29,10.8,11.0,10.65,10.7,1204.0,
1993-12-30,10.65,11.5,10.65,10.95,5744.0,
1993-12-31,10.95,11.2,10.6,10.7,3247.0,
1994-01-03,10.6,10.65,10.4,10.4,1855.0,
1994-01-04,10.3,10.7,10.3,10.3,1102.0,
1994-01-05,10.3,10.7,9.9,10.7,2731.0,
1994-01-06,10.7,11.25,10.3,11.2,8002.0,
1994-01-07,11.3,11.3,10.5,11.1,11587.0,
1994-01-10,11.1,11.2,10.65,11.2,5919.0,
1994-01-11,11.1,11.2,10.65,10.65,3459.0,
1994-01-12,10.55,11.15,10.55,10.8,2501.0,
1994-01-13,10.95,10.95,10.7,10.9,788.0,
1994-01-14,10.9,10.95,10.4,10.5,3513.0,
1994-01-17,10.5,10.5,10.2,10.2,1924.0,
1994-01-18,10.2,10.5,10.0,10.45,2130.0,
1994-01-19,10.4,10.4,10.0,10.1,1856.0,
1994-01-20,10.0,10.15,9.65,10.0,2191.0,
1994-01-21,10.3,10.6,10.0,10.05,2479.0,
1994-01-24,10.3,10.45,10.0,10.05,1865.0,
1994-01-25,10.1,10.25,9.85,9.85,1137.0,
1994-01-26,9.8,9.8,9.6,9.6,1467.0,
1994-01-27,9.5,9.85,9.45,9.8,2182.0,
1994-01-31,9.5,9.5,8.8,8.85,3964.0,
1994-02-01,8.8,9.3,8.8,8.8,3606.0,
1994-02-02,8.7,9.2,8.7,9.05,1532.0,
1994-02-03,9.15,10.05,9.0,10.05,14316.0,
1994-02-04,10.15,10.65,10.05,10.65,12254.0,
1994-02-14,10.95,11.0,9.6,9.7,11905.0,
1994-02-15,9.7,10.2,9.55,10.0,6158.0,
1994-02-16,10.1,10.25,9.8,9.85,4953.0,
1994-02-17,9.75,9.8,9.6,9.7,2073.0,
1994-02-18,9.7,9.85,9.6,9.8,1764.0,
1994-02-21,9.75,9.75,9.4,9.4,1737.0,
1994-02-22,9.6,10.5,9.6,9.9,9512.0,
1994-02-23,10.05,10.1,9.7,9.85,2077.0,
1994-02-24,10.0,10.35,9.9,10.35,4729.0,
1994-02-25,10.5,10.5,10.1,10.3,9620.0,
1994-02-28,10.2,10.3,10.0,10.0,2984.0,
1994-03-01,10.0,10.1,9.9,9.9,1467.0,
1994-03-02,10.0,10.0,9.8,9.85,823.0,
1994-03-03,9.8,9.95,9.6,9.7,2023.0,
1994-03-04,9.55,9.7,9.45,9.55,1320.0,
1994-03-07,9.65,9.65,9.2,9.5,2045.0,
1994-03-08,9.5,9.5,9.3,9.4,1477.0,
1994-03-09,9.4,9.45,9.3,9.35,915.0,
1994-03-10,9.35,9.35,9.15,9.2,1270.0,
1994-03-11,9.1,9.5,8.9,9.25,2028.0,
1994-03-14,9.5,10.0,9.5,9.8,3989.0,
1994-03-15,10.0,10.0,9.4,9.4,3140.0,
1994-03-16,9.35,9.55,9.3,9.4,1677.0,
1994-03-17,9.5,9.5,9.3,9.3,1393.0,
1994-03-18,9.35,9.5,9.25,9.3,2442.0,
1994-03-21,9.5,9.5,9.0,9.0,2483.0,
1994-03-22,9.0,9.0,8.8,8.85,1495.0,
1994-03-23,8.85,8.85,8.7,8.7,1390.0,
1994-03-24,8.5,8.75,8.35,8.4,1590.0,
1994-03-25,8.4,8.7,8.3,8.45,1716.0,
1994-03-28,8.4,8.45,8.0,8.15,1384.0,
1994-03-29,8.1,8.4,8.0,8.4,1697.0,
1994-03-30,8.4,8.4,8.0,8.15,2643.0,
1994-03-31,8.15,8.15,7.75,7.8,1326.0,
1994-04-01,7.7,7.75,7.5,7.55,2092.0,
1994-04-04,7.5,7.7,7.45,7.45,1271.0,
1994-04-05,7.45,7.7,7.4,7.5,2350.0,
1994-04-06,7.5,7.7,7.5,7.6,1249.0,
1994-04-07,7.75,7.9,7.6,7.6,3309.0,
1994-04-08,7.5,7.5,7.2,7.25,2758.0,
1994-04-11,7.25,7.25,7.05,7.05,2140.0,
1994-04-12,7.0,7.3,7.0,7.1,2102.0,
1994-04-13,7.3,7.3,6.95,7.0,1300.0,
1994-04-14,6.85,6.9,6.45,6.45,2372.0,
1994-04-15,6.2,6.8,6.0,6.75,5319.0,
1994-04-18,6.7,6.7,6.1,6.15,6263.0,
1994-04-19,6.1,6.15,5.5,5.6,4586.0,
1994-04-20,5.5,5.75,5.1,5.15,7815.0,
1994-04-21,5.2,5.75,5.2,5.6,9531.0,
1994-04-22,5.6,5.7,5.3,5.3,6506.0,
1994-04-25,5.25,5.5,5.15,5.5,2104.0,
1994-04-26,5.55,5.8,5.5,5.75,4784.0,
1994-04-27,5.8,6.25,5.75,6.23,8736.0,
1994-04-28,6.35,6.6,6.03,6.08,15979.0,
1994-04-29,6.0,6.3,5.65,6.27,9501.0,
1994-05-03,6.65,7.34,6.65,7.27,26954.0,
1994-05-04,7.5,7.65,6.7,6.95,16793.0,
1994-05-05,6.5,6.8,6.3,6.6,6408.0,
1994-05-06,6.75,7.1,6.58,6.95,11926.0,
1994-05-09,7.2,7.4,7.0,7.38,12880.0,
1994-05-10,7.48,7.6,7.21,7.6,14588.0,
1994-05-11,7.6,7.65,7.0,7.16,9783.0,
1994-05-12,6.98,7.28,6.92,6.94,6740.0,
1994-05-13,6.94,7.35,6.9,7.34,6550.0,
1994-05-16,7.38,7.5,7.25,7.35,6616.0,
1994-05-17,7.35,7.35,7.0,7.1,2596.0,
1994-05-18,7.01,7.25,6.92,7.0,2144.0,
1994-05-20,6.95,7.0,6.75,6.79,3693.0,
1994-05-23,6.7,6.7,6.54,6.58,1999.0,
1994-05-24,6.58,6.65,6.5,6.62,1006.0,
1994-05-25,6.62,6.62,6.44,6.44,1382.0,
1994-05-26,6.4,6.43,6.2,6.2,1996.0,
1994-05-27,6.2,6.25,6.0,6.02,1734.0,
1994-05-30,6.0,6.0,5.58,5.58,2334.0,
1994-05-31,5.5,5.75,5.5,5.7,3705.0,
1994-06-01,5.7,5.7,5.35,5.35,2931.0,
1994-06-02,5.3,5.49,5.2,5.34,1639.0,
1994-06-03,5.44,5.5,5.38,5.39,2176.0,
1994-06-06,5.4,5.4,5.25,5.25,974.0,
1994-06-07,5.3,5.3,5.16,5.2,564.0,
1994-06-08,5.1,5.42,5.1,5.33,2146.0,
1994-06-09,5.33,5.39,5.23,5.26,1901.0,
1994-06-10,5.2,5.31,5.2,5.27,780.0,
1994-06-13,5.2,5.25,5.08,5.08,905.0,
1994-06-14,5.08,5.1,4.9,4.96,1278.0,
1994-06-15,4.91,5.06,4.91,5.0,945.0,
1994-06-16,5.05,5.2,4.9,5.17,1947.0,
1994-06-17,5.2,5.43,5.1,5.42,3695.0,
1994-06-20,5.42,5.45,5.03,5.08,3822.0,
1994-06-21,5.02,5.1,5.0,5.0,1080.0,
1994-06-22,5.0,5.18,4.98,5.1,971.0,
1994-06-23,5.15,5.16,5.06,5.06,781.0,
1994-06-24,5.03,5.06,4.98,4.98,903.0,
1994-06-27,4.91,4.91,4.73,4.73,1193.0,
1994-06-28,4.61,4.7,4.61,4.63,884.0,
1994-06-29,4.7,4.74,4.5,4.51,2009.0,
1994-06-30,3.85,3.85,3.61,3.76,1492.0,
1994-07-01,3.85,3.85,3.6,3.6,1053.0,
1994-07-04,3.5,3.55,3.38,3.44,1517.0,
1994-07-08,3.44,3.55,3.3,3.51,3327.0,
1994-07-11,3.51,3.53,3.36,3.36,2238.0,
