Date,Open,High,Low,Close,Volume,Amount
2022-07-27,4.06,4.87,4.06,4.87,34907.53,16944.477
2022-07-28,5.36,5.36,5.36,5.36,5812.05,3115.259
2022-07-29,5.9,5.9,5.9,5.9,6873.46,4055.341
2022-08-01,6.49,6.49,6.49,6.49,10018.56,6502.045
2022-08-02,7.14,7.14,7.14,7.14,19880.23,14194.484
2022-08-03,7.85,7.85,7.85,7.85,16063.53,12609.871
2022-08-04,8.64,8.64,8.64,8.64,7470.22,6454.27
2022-08-05,9.5,9.5,9.5,9.5,13633.16,12951.502
2022-08-08,10.45,10.45,10.45,10.45,46939.08,49051.339
2022-08-09,11.5,11.5,11.5,11.5,50649.7,58247.155
2022-08-10,12.65,12.65,12.65,12.65,23246.66,29407.025
2022-08-11,13.92,13.92,13.92,13.92,122900.06,171076.884
2022-08-12,14.59,15.31,14.48,15.31,1648239.02,2482601.594
2022-08-15,15.01,16.84,14.58,15.89,1559684.18,2470190.763
2022-08-16,16.56,17.48,16.56,17.48,1187567.35,2032276.337
2022-08-17,18.23,19.19,17.5,18.34,1352088.06,2491898.559
2022-08-18,17.61,18.08,16.84,17.67,1107455.3,1930595.192
2022-08-19,17.7,18.19,16.31,16.5,1020880.24,1746375.794
2022-08-22,15.71,16.13,14.92,14.99,845698.6,1304049.52
2022-08-23,14.99,15.55,14.93,15.14,585385.85,891417.281
2022-08-24,16.3,16.65,16.06,16.65,762586.84,1261778.683
2022-08-25,17.4,17.97,15.07,15.18,1221255.22,2053226.035
2022-08-26,14.31,16.62,14.1,15.78,979053.08,1485322.877
2022-08-29,15.46,17.18,15.45,17.14,980813.5,1628859.578
2022-08-30,16.92,16.97,15.43,15.43,788454.35,1262044.737
2022-08-31,15.45,16.2,15.05,16.15,678199.55,1072791.088
2022-09-01,16.69,16.8,15.1,15.95,601454.05,953044.178
2022-09-02,15.95,16.67,15.26,16.61,731726.51,1168743.342
2022-09-05,16.61,18.17,16.35,17.6,1027497.75,1771729.614
2022-09-06,17.17,18.35,16.66,18.0,930460.58,1624880.751
2022-09-07,17.45,17.96,16.96,17.37,708921.49,1239469.086
2022-09-08,17.37,18.06,17.24,17.52,620933.1,1097464.382
2022-09-09,17.8,17.96,16.1,16.21,687224.34,1152340.268
2022-09-13,15.87,16.28,15.53,15.59,531572.17,840417.61
2022-09-14,15.51,16.3,15.24,16.25,553924.89,872737.901
2022-09-15,16.2,16.22,14.66,14.79,599357.49,914841.199
2022-09-16,14.57,14.93,14.31,14.8,348271.59,511717.427
2022-09-19,14.66,14.86,13.32,13.32,539963.65,746736.213
