Date,Open,High,Low,Close,Volume,Amount,TurnoverRate
2020-12-02,186.0,186.0,163.7,164.85,67392.45,1166344.39,0.6327929999999999
2020-12-03,152.0,152.0,137.3,137.32,51103.18,734180.372,0.479842
2020-12-04,135.04,139.3,131.58,132.31,31530.11,422618.499,0.296057
2020-12-07,131.31,132.45,128.0,129.51,20970.98,272367.432,0.1969109999999999
2020-12-08,129.9,131.34,128.38,128.57,18621.57,241871.956,0.17485
2020-12-09,127.3,134.95,124.16,130.19,26811.8,346979.426,0.251754
2020-12-10,127.01,127.18,120.7,121.19,22920.75,283696.13,0.215218
2020-12-11,120.03,122.3,114.88,115.21,17756.09,209026.579,0.1667239999999999
2020-12-14,114.6,117.5,113.8,115.9,11159.22,129000.713,0.104781
2020-12-15,115.0,120.25,113.33,116.95,16878.7,197431.289,0.158485
2020-12-16,115.21,116.96,113.8,114.1,12260.33,141201.227,0.11512
2020-12-17,113.33,136.92,113.02,136.92,45706.31,591542.02,0.4291669999999999
2020-12-18,135.0,135.95,125.33,126.49,39008.11,508504.761,0.3662729999999999
2020-12-21,125.01,129.8,123.78,126.4,24670.88,311982.792,0.231651
2020-12-22,124.9,124.9,117.0,117.0,23449.63,280156.86,0.220184
2020-12-23,116.01,119.8,115.0,118.16,18279.18,214803.633,0.1716349999999999
2020-12-24,117.18,124.83,115.21,122.89,22764.15,274112.297,0.213748
2020-12-25,122.0,125.84,118.0,118.63,16632.26,201461.228,0.156171
2020-12-28,116.7,118.58,111.22,111.7,15285.02,175974.432,0.143521
2020-12-29,110.98,110.98,101.55,103.35,18452.37,192599.562,0.173262
2020-12-30,103.36,108.66,102.0,105.5,14400.13,150926.92,0.135212
2020-12-31,104.89,108.98,104.57,105.3,11577.03,123326.907,0.108705
2021-01-04,105.01,113.91,104.4,110.48,15430.84,170168.441,0.144891
2021-01-05,109.99,114.96,109.02,112.0,16443.14,184971.614,0.154396
2021-01-06,110.92,113.99,108.21,109.21,12538.8,139231.929,0.117735
2021-01-07,107.51,107.97,101.56,102.09,15246.31,158464.483,0.143158
2021-01-08,100.98,103.86,97.77,103.02,11963.47,120437.318,0.112333
2021-01-11,101.99,103.77,98.01,98.9,9606.25,96461.935,0.0902
2021-01-12,99.58,100.57,95.88,96.19,10762.79,105641.087,0.101059
2021-01-13,95.08,96.5,89.88,90.16,14625.78,134803.554,0.137331
2021-01-14,89.37,95.23,88.76,92.9,13489.83,125375.784,0.126665
2021-01-15,92.59,106.24,92.51,102.7,19858.32,201288.835,0.186463
2021-01-18,102.84,105.88,100.1,100.64,14922.01,152383.427,0.140113
2021-01-19,100.65,105.2,98.3,101.49,14744.73,151606.098,0.138448
2021-01-20,101.48,103.77,99.26,102.35,10965.82,111036.776,0.102965
2021-01-21,105.1,105.1,100.51,100.66,11231.72,114494.842,0.105462
2021-01-22,99.41,104.88,99.01,101.5,10483.98,107144.506,0.0984409999999999
2021-01-25,100.48,101.77,92.0,97.43,10460.93,101316.204,0.0982249999999999
2021-01-26,97.0,101.2,96.78,97.55,7596.95,74998.899,0.071333
2021-01-27,96.9,98.51,95.88,97.07,5710.83,55363.012,0.053623
2021-01-28,97.07,99.98,94.49,94.5,7968.16,77613.29,0.074818
2021-01-29,95.71,96.69,91.01,94.0,7756.2,72826.1,0.072828
2021-02-01,92.74,101.0,92.29,100.03,12853.29,125974.441,0.1206879999999999
2021-02-02,100.0,102.46,98.21,100.33,11676.86,116855.864,0.109642
2021-02-03,100.16,109.98,98.66,105.32,20926.33,220816.227,0.196491
2021-02-04,104.5,114.66,104.5,108.78,24303.2,267106.657,0.228199
2021-02-05,107.55,108.43,98.68,99.88,17988.31,185538.939,0.168904
2021-02-08,98.31,100.67,92.5,92.63,13209.24,124756.752,0.12403
2021-02-09,92.89,96.22,92.43,94.35,9643.3,90986.803,0.090547
2021-02-10,96.67,100.78,96.1,98.18,10814.85,106260.639,0.101548
2021-02-18,98.5,100.6,98.0,99.13,10315.23,102141.696,0.096857
2021-02-19,99.47,100.7,94.49,100.63,12010.96,117038.027,0.112779
2021-02-22,100.39,103.91,99.27,99.27,11320.0,114835.714,0.106291
2021-02-23,98.02,98.8,96.16,96.94,8115.37,78816.53,0.076201
2021-02-24,96.93,98.55,96.28,97.0,5995.33,58370.177,0.056294
2021-02-25,97.02,97.5,94.0,94.13,7283.96,69468.164,0.068394
2021-02-26,93.0,95.46,92.39,93.94,4850.86,45540.94,0.045548
2021-03-01,93.16,95.98,93.16,95.97,5301.0,50421.668,0.049775
2021-03-02,96.99,96.99,94.49,95.21,4911.86,46811.51,0.0461209999999999
2021-03-03,95.21,96.8,94.9,96.28,4815.0,46180.916,0.0452109999999999
2021-03-04,95.55,96.1,93.0,93.17,6885.59,64978.655,0.064653
2021-03-05,91.99,94.9,91.99,94.44,4475.0,41954.521,0.042019
2021-03-08,95.07,97.26,94.51,94.73,7010.0,67285.466,0.065822
2021-03-09,94.23,95.6,89.1,92.25,6096.0,56410.874,0.057239
2021-03-10,92.39,93.37,88.88,89.6,5749.0,52177.646,0.053981
2021-03-11,89.5,91.3,87.51,90.17,5090.0,45500.473,0.047793
2021-03-12,90.02,90.73,87.66,88.24,5440.98,48312.237,0.051089
2021-03-15,88.48,88.48,84.68,84.91,5624.47,48270.137,0.052812
2021-03-16,84.91,86.45,84.5,85.96,3647.0,31212.892,0.034244
2021-03-17,86.2,89.95,85.45,89.43,6607.47,58252.936,0.062042
2021-03-18,89.6,91.49,88.5,89.01,5605.47,50278.668,0.052634
2021-03-19,88.33,92.5,88.02,91.48,8932.27,81581.243,0.083871
2021-03-22,92.0,92.79,91.02,92.34,6970.0,64158.21,0.065446
2021-03-23,91.04,92.71,90.56,91.33,6309.0,57753.845,0.059239
2021-03-24,92.44,98.6,92.22,92.3,9649.96,91386.217,0.09061
2021-03-25,90.83,91.68,88.5,88.9,7351.0,66001.998,0.069023
2021-03-26,90.0,90.3,88.71,89.4,4233.0,37877.79,0.039746
2021-03-29,89.41,89.8,86.83,87.45,5546.01,48839.414,0.0520749999999999
2021-03-30,87.45,88.39,86.48,88.11,3530.37,30887.475,0.033149
2021-03-31,88.0,90.87,87.87,90.2,6013.48,53917.042,0.0564649999999999
2021-04-01,89.97,90.47,88.6,89.96,4470.0,40119.214,0.0419719999999999
2021-04-02,90.14,92.08,89.71,92.08,5296.0,48319.05,0.049728
2021-04-06,92.1,94.29,91.69,93.28,5033.0,46813.127,0.0472579999999999
2021-04-07,93.08,93.99,92.01,93.96,4932.0,45907.24,0.04631
2021-04-08,93.85,96.37,93.21,94.8,8956.0,85479.285,0.084094
2021-04-09,95.0,97.44,94.13,96.82,7971.48,76656.021,0.07485
2021-04-12,97.98,97.98,92.01,92.19,7661.95,72108.013,0.071943
2021-04-13,93.58,94.99,92.27,93.09,4847.0,45330.227,0.045512
2021-04-14,93.0,94.51,90.0,94.51,5465.37,50700.996,0.051318
2021-04-15,94.4,94.9,90.2,90.2,9040.25,82790.488,0.084885
2021-04-16,91.28,91.92,89.3,91.26,7175.07,65134.264,0.067372
2021-04-19,90.27,94.2,90.27,93.81,7618.23,70765.601,0.071533
2021-04-20,93.7,95.0,91.98,92.27,5995.0,56002.155,0.056291
2021-04-21,91.63,92.75,91.01,91.5,4331.74,39778.919,0.040674
2021-04-22,92.4,95.2,91.7,95.14,10159.42,95485.043,0.095394
2021-04-23,95.0,97.47,93.68,96.6,15903.62,151893.074,0.14933
2021-04-26,96.05,96.99,94.3,95.02,8717.47,83218.943,0.081854
2021-04-27,95.04,98.98,94.51,98.9,13457.45,130574.197,0.126361
2021-04-28,97.95,98.23,95.5,97.31,8857.87,85611.282,0.083172
2021-04-29,97.07,97.07,94.11,94.11,7563.07,72157.987,0.071015
2021-04-30,93.47,94.3,89.48,90.48,9420.11,85844.645,0.088452
2021-05-06,88.2,90.0,87.8,89.0,5742.19,50788.488,0.053917
2021-05-07,89.0,89.66,86.62,86.66,5337.15,46947.211,0.050114
2021-05-10,86.58,87.66,85.63,86.34,3293.0,28414.225,0.03092
2021-05-11,85.88,88.0,85.88,87.5,3278.82,28645.218,0.030787
2021-05-12,87.1,87.1,85.68,86.99,3202.63,27679.817,0.030072
2021-05-13,86.01,88.24,86.01,87.05,3431.19,29985.12,0.032218
2021-05-14,87.67,89.34,87.66,88.22,4206.65,37219.991,0.039499
2021-05-17,88.22,89.22,87.67,89.01,3462.8,30688.069,0.032515
2021-05-18,89.17,89.87,88.32,88.68,3221.0,28600.604,0.030244
2021-05-19,88.78,88.98,88.06,88.38,2525.0,22303.36,0.0237089999999999
2021-05-20,88.1,89.97,87.83,89.41,4977.27,44315.035,0.046735
2021-05-21,89.41,89.96,89.0,89.17,2917.07,26075.987,0.0273899999999999
2021-05-24,89.44,89.77,88.56,89.6,3415.19,30466.873,0.032068
2021-05-25,90.3,90.3,89.0,89.98,3880.0,34794.367,0.036432
2021-05-26,90.18,92.46,89.56,91.72,5248.8,47928.767,0.0492849999999999
2021-05-27,91.71,92.56,91.08,91.78,4317.96,39695.09,0.040544
2021-05-28,91.59,92.34,91.27,91.5,3202.06,29363.978,0.030066
2021-05-31,91.58,93.33,91.19,93.23,4576.09,42387.847,0.042968
2021-06-01,92.99,93.73,92.8,93.3,3776.24,35168.283,0.0354579999999999
2021-06-02,92.92,93.66,91.73,92.85,4909.0,45434.103,0.0460939999999999
2021-06-03,92.65,94.88,92.65,92.87,4861.7,45452.878,0.04565
2021-06-04,93.28,94.58,92.6,93.12,4035.91,37686.941,0.037896
2021-06-07,93.11,94.68,92.85,94.59,4986.36,46916.006,0.04682
2021-06-08,94.63,94.7,93.16,93.73,4229.67,39626.57,0.039715
2021-06-09,93.35,94.33,93.35,93.76,3132.12,29375.491,0.02941
2021-06-10,93.77,95.3,93.5,95.23,5205.91,49250.467,0.048882
2021-06-11,96.2,96.91,94.8,95.35,5586.92,53538.589,0.052459
2021-06-15,96.3,97.99,95.59,96.3,6930.0,66904.563,0.06507
2021-06-16,96.36,101.23,96.28,98.71,9977.01,98844.638,0.093681
2021-06-17,99.0,103.11,96.68,102.4,13689.49,136548.941,0.12854
2021-06-18,101.45,102.22,98.39,99.96,9796.07,97676.676,0.091982
2021-06-21,66.0,69.0,63.51,68.45,14100.04,94021.707,0.088263
2021-06-22,68.4,68.4,65.5,65.69,13205.78,88178.469,0.082665
2021-06-23,65.81,75.2,65.6,69.64,23201.4,162354.203,0.145236
2021-06-24,70.5,72.9,69.27,71.3,21828.05,155772.903,0.136639
2021-06-25,70.51,70.9,67.26,68.29,16631.0,114421.483,0.104106
2021-06-28,68.5,69.28,67.61,68.31,10557.89,72109.328,0.06609
2021-06-29,68.88,68.88,65.25,65.59,13377.74,88267.747,0.083742
2021-06-30,65.13,66.36,64.64,65.52,8926.3,58290.599,0.0558769999999999
2021-07-01,65.52,65.87,62.8,62.85,9952.11,63552.638,0.062298
2021-07-02,62.1,63.4,61.84,63.19,7348.67,46013.53,0.046001
2021-07-05,66.89,66.89,63.9,65.43,10600.75,69151.848,0.066358
2021-07-06,64.99,65.2,62.39,63.34,9162.07,58382.58,0.0573529999999999
2021-07-07,63.0,64.5,62.68,63.96,5690.75,36300.156,0.035623
2021-07-08,63.95,64.05,62.5,62.65,6974.13,43924.671,0.043657
2021-07-09,62.01,62.36,60.8,61.72,7749.0,47594.417,0.0485069999999999
2021-07-12,61.99,63.48,61.0,63.12,9202.55,57609.179,0.057606
2021-07-13,63.52,66.17,63.36,65.29,13715.91,89323.885,0.085859
2021-07-14,66.39,66.39,63.68,63.68,9153.12,58888.824,0.057297
2021-07-15,63.3,63.51,61.01,61.91,7083.5,43889.913,0.044341
2021-07-16,61.36,62.57,61.29,61.45,4423.5,27351.039,0.02769
2021-07-19,62.0,62.0,59.52,60.07,5992.58,36119.454,0.037512
2021-07-20,59.05,59.97,59.05,59.65,3581.0,21339.041,0.022416
2021-07-21,59.78,60.85,59.31,60.35,4973.18,30061.041,0.031131
2021-07-22,61.08,61.08,60.07,60.48,4381.5,26460.363,0.027427
2021-07-23,60.32,60.32,58.31,58.43,7742.0,45692.441,0.048463
2021-07-26,58.77,58.77,57.05,57.86,5195.32,30079.805,0.032522
2021-07-27,58.06,60.34,57.73,58.95,8604.5,50928.874,0.0538619999999999
2021-07-28,58.6,58.98,56.0,57.41,4608.5,26383.776,0.028848
2021-07-29,57.55,60.2,57.54,59.75,7230.28,42908.11,0.0452599999999999
2021-07-30,59.75,61.22,59.2,60.33,7422.67,44812.01,0.046464
2021-08-02,60.29,61.86,59.47,61.73,8144.93,49617.161,0.0509849999999999
2021-08-03,61.8,65.28,61.0,63.52,15233.07,96902.812,0.095356
2021-08-04,62.95,64.26,62.05,63.63,8675.36,54945.943,0.054306
2021-08-05,62.68,63.46,62.17,62.17,7209.32,45120.156,0.045129
2021-08-06,62.22,65.12,61.43,64.95,11989.87,76354.725,0.075054
2021-08-09,65.58,65.58,63.68,64.71,8676.05,55978.623,0.05431
2021-08-10,64.9,64.9,63.68,64.18,7369.82,47263.235,0.046133
2021-08-11,64.11,65.69,63.83,65.1,9081.0,59070.475,0.056845
2021-08-12,65.09,65.09,63.66,64.07,5983.5,38411.519,0.0374549999999999
2021-08-13,63.93,64.0,62.6,63.06,6327.68,39915.659,0.03961
2021-08-16,63.07,65.48,63.07,65.25,10527.0,68135.865,0.065897
2021-08-17,64.83,65.5,63.18,63.71,7886.0,50656.2,0.049365
2021-08-18,63.89,64.25,59.44,60.0,13964.51,84824.059,0.087415
2021-08-19,59.41,60.05,58.56,58.71,6330.5,37436.402,0.039628
2021-08-20,59.59,59.59,58.01,58.84,4983.0,29227.572,0.031192
2021-08-23,58.91,62.79,58.9,62.25,10936.42,66912.106,0.06846
2021-08-24,63.19,64.48,61.14,63.0,12504.2,78548.728,0.078274
2021-08-25,62.52,64.23,62.52,63.19,8063.63,51085.272,0.050477
2021-08-26,63.13,64.25,62.48,63.36,7493.62,47464.268,0.046908
2021-08-27,63.36,64.35,62.12,64.05,9073.67,57634.636,0.056799
2021-08-30,64.09,64.32,62.01,63.66,9275.1,58523.654,0.05806
2021-08-31,63.11,63.63,61.07,61.25,7541.25,46864.352,0.047207
2021-09-01,61.0,61.92,59.61,61.31,6111.13,36997.324,0.038254
2021-09-02,60.2,61.31,60.11,60.32,5285.5,31897.682,0.033086
2021-09-03,60.01,61.53,59.9,61.08,5190.67,31575.649,0.032492
2021-09-06,62.78,69.9,62.01,68.58,34452.05,229211.693,0.215662
2021-09-07,67.0,68.89,66.5,68.58,22041.45,149670.315,0.137975
2021-09-08,68.56,68.56,66.08,66.49,14379.61,96347.39,0.090013
2021-09-09,66.7,67.98,64.8,65.41,10567.67,69666.452,0.066151
2021-09-10,64.81,66.19,64.21,64.63,9476.5,61728.172,0.059321
2021-09-13,64.72,66.18,63.56,65.2,9581.66,62119.307,0.059979
2021-09-14,66.66,66.66,63.0,63.0,12475.69,80629.615,0.078095
2021-09-15,63.47,63.94,61.66,61.93,7491.0,46495.165,0.0468919999999999
2021-09-16,61.6,62.58,61.43,61.94,6506.57,40303.778,0.04073
2021-09-17,62.4,62.4,60.66,61.26,5276.97,32319.242,0.033033
2021-09-22,60.78,62.8,60.31,62.0,5195.5,32177.656,0.0325229999999999
2021-09-23,62.88,62.88,61.53,62.3,5085.05,31601.118,0.031831
2021-09-24,62.88,63.94,61.9,62.9,6377.3,40263.638,0.039921
2021-09-27,63.5,63.5,59.2,59.62,6985.53,42322.56,0.0437279999999999
2021-09-28,59.13,60.2,59.01,59.99,2287.3,13681.047,0.0143179999999999
2021-09-29,59.11,59.56,58.22,58.24,4184.0,24583.59,0.026191
2021-09-30,58.15,59.5,58.15,58.76,1956.6,11520.063,0.012248
2021-10-08,59.48,60.47,58.77,59.9,2440.31,14608.387,0.015276
2021-10-11,59.9,60.45,59.47,59.88,1729.93,10380.353,0.010829
2021-10-12,59.1,60.21,58.79,58.97,2580.7,15290.136,0.016155
2021-10-13,58.9,62.0,58.9,61.34,4471.0,27167.914,0.027987
2021-10-14,61.99,66.6,61.35,62.79,10565.31,67444.367,0.066137
2021-10-15,61.0,61.8,60.2,60.7,7237.85,44018.307,0.045307
2021-10-18,60.98,61.5,59.19,60.32,3270.5,19712.064,0.0204729999999999
2021-10-19,60.4,61.61,60.06,61.4,3797.5,23134.465,0.023772
2021-10-20,61.59,61.88,60.71,61.7,3353.62,20529.879,0.0209929999999999
2021-10-21,61.7,61.77,60.03,60.07,2908.16,17646.469,0.018204
2021-10-22,60.08,60.29,59.1,59.23,3307.0,19679.535,0.020701
2021-10-25,59.01,60.5,58.3,59.9,4581.29,27087.753,0.028678
2021-10-26,59.8,60.5,59.15,60.1,2713.5,16252.312,0.016986
2021-10-27,60.1,60.39,55.8,56.23,7390.0,42491.673,0.04626
2021-10-28,59.15,59.6,56.82,57.58,5820.5,33707.655,0.036435
2021-10-29,58.0,58.39,57.05,58.18,3840.0,22180.142,0.024038
2021-11-01,57.7,59.68,56.98,59.3,5003.19,29247.569,0.031319
2021-11-02,59.3,60.12,57.36,57.69,4943.5,28936.54,0.030945
2021-11-03,58.66,59.4,57.09,58.1,3395.0,19796.073,0.021252
2021-11-04,57.72,59.24,57.7,59.0,3276.0,19257.731,0.020507
2021-11-05,59.01,60.23,58.39,60.12,5432.82,32456.227,0.034008
2021-11-08,60.0,60.17,59.0,59.34,3487.5,20714.731,0.021831
2021-11-09,59.35,61.48,59.35,60.38,4159.5,25151.014,0.026038
2021-11-10,60.04,61.38,60.04,61.0,4025.0,24449.379,0.025196
2021-11-11,61.09,64.9,60.45,62.35,12155.51,75917.133,0.0760909999999999
2021-11-12,62.9,68.6,61.7,66.24,25944.0,170224.056,0.162404
2021-11-15,65.89,71.11,65.88,69.51,34559.57,237337.832,0.216335
2021-11-16,69.0,69.0,65.9,67.0,18204.88,121729.148,0.1139589999999999
2021-11-17,66.8,67.88,65.0,67.82,14238.56,94642.779,0.08913
2021-11-18,67.76,68.52,64.51,64.74,15720.14,103793.855,0.098405
2021-11-19,64.41,66.1,64.41,65.47,10716.0,70114.357,0.06708
2021-11-22,65.2,69.32,65.19,69.14,19022.63,128853.45,0.119077
2021-11-23,70.01,82.0,69.23,75.96,49423.21,372130.707,0.309378
2021-11-24,76.5,78.8,75.0,76.02,38164.39,291602.091,0.238901
2021-11-25,75.72,75.98,73.37,74.63,20758.45,155207.71,0.129943
2021-11-26,74.2,75.99,70.51,71.61,23493.51,169485.018,0.147064
