Date,Open,High,Low,Close,Volume
2001-08-27,34.51,37.78,32.85,35.55,406318.0
2001-08-28,34.99,37.0,34.61,36.86,129647.0
2001-08-29,36.98,37.0,36.1,36.38,53252.0
2001-08-30,36.28,37.51,36.0,37.1,48013.0
2001-08-31,37.15,37.62,36.8,37.01,23231.0
2001-09-03,37.2,37.57,36.85,36.99,22112.0
2001-09-04,37.01,38.08,36.88,37.46,37006.0
2001-09-05,37.61,37.92,37.21,37.44,26066.0
2001-09-06,37.35,37.47,36.51,36.7,28997.0
2001-09-07,36.5,36.95,35.65,35.68,31552.0
2001-09-10,35.4,36.85,35.01,36.7,18878.0
2001-09-11,36.8,36.95,36.2,36.29,11390.0
2001-09-12,35.33,36.2,35.3,35.98,25045.0
2001-09-13,36.01,36.3,35.7,35.89,10986.0
2001-09-14,36.01,36.5,35.8,36.3,7672.0
2001-09-17,36.08,36.29,35.5,35.84,8983.0
2001-09-18,35.88,36.55,35.85,36.25,10773.0
2001-09-19,36.3,36.92,36.06,36.92,8650.0
2001-09-20,36.9,37.05,36.5,36.61,11173.0
2001-09-21,36.28,36.6,36.0,36.06,7879.0
2001-09-24,36.06,36.39,36.0,36.05,4068.0
2001-09-25,36.28,36.54,36.05,36.23,3488.0
2001-09-26,36.11,36.48,36.0,36.08,4956.0
2001-09-27,36.08,36.98,36.0,36.7,8778.0
2001-09-28,36.9,37.2,36.5,37.09,17088.0
2001-10-08,37.0,37.18,36.25,36.58,6552.0
2001-10-09,36.6,37.5,36.6,37.3,9558.0
2001-10-10,37.3,37.43,36.03,36.1,17548.0
2001-10-11,36.01,36.5,35.65,35.75,12306.0
2001-10-12,35.9,36.65,34.05,36.0,20010.0
2001-10-15,35.9,36.0,34.9,35.3,9755.0
2001-10-16,35.13,35.8,34.75,34.8,8319.0
2001-10-17,34.79,34.81,33.9,34.2,12507.0
2001-10-18,34.2,34.66,33.91,34.04,4983.0
2001-10-19,34.0,34.15,33.01,33.5,15687.0
2001-10-22,33.3,33.7,32.7,32.79,9760.0
2001-10-23,36.0,36.07,35.01,36.07,40598.0
2001-10-24,36.78,36.8,35.11,35.86,40682.0
2001-10-25,35.7,35.8,34.86,34.88,16036.0
2001-10-26,34.7,35.1,34.42,35.0,9002.0
2001-10-29,34.88,35.63,34.88,35.3,4587.0
2001-10-30,35.25,35.49,34.92,35.0,3484.0
2001-10-31,35.0,35.09,34.8,35.05,4762.0
2001-11-01,35.05,35.64,34.95,35.57,6643.0
2001-11-02,35.28,35.72,35.16,35.36,3435.0
2001-11-05,35.0,35.26,34.7,34.9,3690.0
2001-11-06,34.8,35.3,34.72,35.15,2609.0
2001-11-07,35.0,35.0,33.8,33.85,9325.0
2001-11-08,33.35,33.89,32.98,33.7,7402.0
2001-11-09,33.7,34.48,33.34,34.15,3760.0
2001-11-12,34.4,34.4,33.52,33.6,2683.0
2001-11-13,33.28,33.7,33.21,33.64,2673.0
2001-11-14,33.64,34.0,33.64,33.65,769.0
2001-11-15,33.65,33.8,33.5,33.68,2193.0
2001-11-16,36.2,36.2,33.99,34.09,9954.0
2001-11-19,34.15,35.08,34.1,35.05,9955.0
2001-11-20,35.2,35.53,34.9,35.38,3735.0
2001-11-21,35.48,35.5,34.9,35.18,5114.0
2001-11-22,35.22,35.3,34.91,35.12,4198.0
2001-11-23,35.01,35.25,34.78,34.98,3960.0
2001-11-26,35.0,35.0,34.5,34.61,3100.0
2001-11-27,34.58,35.07,34.58,35.0,2569.0
2001-11-28,35.05,35.39,34.9,35.05,3773.0
2001-11-29,35.01,35.2,34.81,34.83,3046.0
2001-11-30,34.83,35.45,34.8,35.34,4070.0
2001-12-03,35.35,36.27,35.34,36.17,16037.0
2001-12-04,36.25,36.27,35.81,36.23,6894.0
2001-12-05,37.0,37.0,35.96,36.0,15028.0
2001-12-06,35.9,36.3,35.8,36.06,6372.0
2001-12-07,36.1,36.2,35.8,35.86,3908.0
2001-12-10,36.0,36.08,35.71,35.99,4162.0
2001-12-11,36.0,36.0,35.61,35.64,3580.0
2001-12-12,35.6,36.1,35.6,35.77,4633.0
2001-12-13,35.61,35.97,35.2,35.26,3540.0
2001-12-14,35.02,35.5,35.02,35.2,2841.0
2001-12-17,35.11,35.61,35.05,35.36,4414.0
2001-12-18,35.48,35.96,35.1,35.9,4821.0
2001-12-19,35.9,36.49,35.63,35.96,9620.0
2001-12-20,35.9,35.9,34.65,34.76,11362.0
2001-12-21,34.7,35.97,34.7,35.87,8135.0
2001-12-24,35.99,37.25,35.81,36.42,27251.0
2001-12-25,36.45,36.72,35.95,36.5,12183.0
2001-12-26,36.54,37.25,36.1,37.19,16810.0
2001-12-27,37.22,37.84,36.92,37.32,23285.0
2001-12-28,37.3,37.6,36.88,37.3,12279.0
2001-12-31,37.67,39.3,37.46,38.55,52195.0
2002-01-04,38.72,38.8,37.45,37.55,29110.0
2002-01-07,37.15,37.5,36.68,37.35,18943.0
2002-01-08,37.0,37.59,36.48,36.59,13287.0
2002-01-09,36.5,37.18,36.35,36.87,10607.0
2002-01-10,36.98,37.39,36.35,37.24,18816.0
2002-01-11,37.01,37.14,36.0,36.05,11835.0
2002-01-14,35.7,36.4,35.43,36.1,18719.0
2002-01-15,35.98,37.05,35.91,36.54,18247.0
2002-01-16,36.48,36.97,35.4,36.35,13974.0
2002-01-17,36.2,36.49,34.7,35.06,24180.0
2002-01-18,34.8,36.88,34.7,36.65,32262.0
2002-01-21,36.3,36.6,35.58,35.87,15756.0
2002-01-22,35.8,36.95,35.8,36.44,13486.0
2002-01-23,36.65,37.65,36.2,37.62,23336.0
2002-01-24,37.36,37.87,36.8,37.29,26616.0
2002-01-25,37.24,37.57,36.8,37.1,13941.0
2002-01-28,37.0,37.29,35.3,35.49,21668.0
2002-01-29,35.2,36.2,34.98,35.66,11872.0
2002-01-30,35.6,36.28,35.2,35.58,8419.0
2002-01-31,36.0,38.0,36.0,37.6,40828.0
2002-02-01,37.5,37.98,36.9,37.06,17345.0
2002-02-04,37.18,38.15,37.0,37.92,16510.0
2002-02-05,37.93,38.68,37.63,37.9,11196.0
2002-02-06,37.86,38.11,37.09,37.18,9669.0
2002-02-07,37.18,37.92,37.12,37.41,6688.0
2002-02-08,37.6,38.2,37.58,37.65,12569.0
2002-02-26,37.99,38.5,37.45,37.77,14816.0
2002-02-27,37.85,38.1,37.5,37.93,8291.0
2002-02-28,38.0,38.46,37.78,38.0,12507.0
2002-03-01,37.95,38.15,37.2,37.39,7421.0
2002-03-04,37.35,38.08,37.12,38.04,5225.0
2002-03-05,38.06,39.1,37.86,38.59,22189.0
2002-03-06,38.8,39.08,38.02,38.36,18620.0
2002-03-07,38.2,38.6,38.05,38.5,13616.0
2002-03-08,38.55,39.78,38.55,39.63,35327.0
2002-03-11,39.69,39.69,39.07,39.45,17606.0
2002-03-12,39.45,39.45,38.5,38.5,17252.0
2002-03-13,38.31,38.8,38.19,38.24,7794.0
2002-03-14,38.11,38.7,38.05,38.62,6388.0
2002-03-15,38.02,38.9,37.85,37.92,11893.0
2002-03-18,38.12,38.8,37.9,38.0,6070.0
2002-03-19,38.1,38.88,38.02,38.75,6774.0
2002-03-20,38.8,39.5,38.7,38.97,15031.0
2002-03-21,39.3,39.56,38.66,38.92,15037.0
2002-03-22,38.92,39.0,38.42,38.54,7973.0
2002-03-25,38.49,38.9,38.3,38.78,4315.0
2002-03-26,38.7,38.8,38.12,38.2,6239.0
2002-03-27,38.15,38.46,37.91,38.1,4991.0
2002-03-28,38.01,38.28,38.0,38.01,5292.0
2002-03-29,38.0,38.05,37.1,37.26,10625.0
2002-04-01,37.16,37.79,37.12,37.6,2766.0
2002-04-02,37.61,37.76,36.81,37.02,7329.0
2002-04-03,37.02,37.3,36.82,36.98,6019.0
2002-04-04,36.97,37.6,36.51,37.58,5161.0
2002-04-05,37.78,37.94,37.1,37.28,3047.0
2002-04-08,37.3,37.4,36.95,37.0,2300.0
2002-04-09,37.0,37.5,36.88,37.43,3292.0
2002-04-10,37.43,37.77,37.2,37.48,3424.0
2002-04-11,37.49,37.88,37.41,37.49,6798.0
2002-04-12,37.62,38.22,37.52,38.0,4519.0
2002-04-15,38.46,38.5,37.6,37.89,2926.0
2002-04-16,37.88,38.3,37.88,38.26,6036.0
2002-04-17,38.5,38.5,36.85,36.98,13219.0
2002-04-18,37.0,37.19,36.38,36.39,8538.0
2002-04-19,36.39,36.45,35.89,36.22,8854.0
2002-04-22,36.0,36.4,35.9,36.19,4114.0
2002-04-23,36.19,36.19,35.51,35.52,4088.0
2002-04-24,35.5,35.88,35.16,35.24,5051.0
2002-04-25,35.1,35.68,35.1,35.51,2597.0
2002-04-26,35.5,36.08,35.4,36.02,2381.0
2002-04-29,36.2,37.0,36.2,36.35,4665.0
2002-04-30,36.48,36.6,35.95,36.2,5978.0
2002-05-08,36.31,36.5,36.02,36.25,1700.0
2002-05-09,36.0,36.45,36.0,36.03,1712.0
2002-05-10,36.05,36.13,35.65,35.66,2689.0
2002-05-13,35.57,35.7,35.38,35.4,2831.0
2002-05-14,35.4,36.48,35.21,35.48,5070.0
2002-05-15,35.68,35.69,35.2,35.34,2244.0
2002-05-16,35.25,35.36,34.91,34.96,5550.0
2002-05-17,34.89,35.59,34.75,35.04,3860.0
2002-05-20,34.99,34.99,34.5,34.51,3354.0
2002-05-21,35.54,35.54,34.9,35.03,5707.0
2002-05-22,35.1,35.48,34.95,35.02,2974.0
2002-05-23,35.88,35.88,35.1,35.2,1620.0
2002-05-24,35.01,35.2,34.68,34.89,2407.0
2002-05-27,35.0,35.34,34.89,35.11,1653.0
2002-05-28,35.2,35.55,35.1,35.16,2615.0
2002-05-29,35.21,35.38,34.66,34.77,2685.0
2002-05-30,34.88,35.06,34.6,34.86,1962.0
2002-05-31,35.0,35.16,34.8,34.95,1806.0
2002-06-03,34.9,35.01,34.51,34.93,2290.0
2002-06-04,34.9,35.0,34.0,34.5,1976.0
2002-06-05,34.5,34.5,34.1,34.35,2225.0
2002-06-06,34.38,35.47,34.1,34.99,5757.0
2002-06-07,34.8,35.16,34.61,34.92,3622.0
2002-06-10,35.0,35.05,34.51,34.64,1833.0
2002-06-11,34.75,35.02,34.65,34.82,1539.0
2002-06-12,34.8,35.12,34.55,35.11,2082.0
2002-06-13,35.1,35.3,34.88,34.9,1623.0
2002-06-14,34.9,35.2,34.6,34.65,947.0
2002-06-17,34.55,34.66,34.3,34.65,1358.0
2002-06-18,34.7,35.08,34.69,34.97,1637.0
2002-06-19,34.9,35.0,34.7,34.73,834.0
2002-06-20,34.98,35.05,34.76,34.88,1319.0
2002-06-21,35.0,35.7,34.88,35.49,4267.0
2002-06-24,39.04,39.04,37.0,38.18,61254.0
2002-06-26,37.28,37.4,36.56,36.85,15423.0
2002-06-27,36.9,37.18,36.6,36.78,5580.0
2002-06-28,36.7,37.38,36.7,37.03,10764.0
2002-07-01,37.08,37.49,36.78,36.8,4320.0
