Date,Open,High,Low,Close,Volume,Amount
2000-03-20,5.75,6.12,5.68,6.0,28707.0,17054.309
2000-03-21,6.05,6.07,5.95,6.0,17167.0,10284.836
2000-03-22,6.05,6.25,6.03,6.17,37607.0,23113.6
2000-03-23,6.19,6.4,6.18,6.31,65222.0,40982.782
2000-03-24,6.4,6.4,6.09,6.09,38056.0,23682.017
2000-03-27,6.1,6.7,6.1,6.7,170965.0,111858.352
2000-03-28,6.99,7.35,6.95,7.04,439047.0,312719.143
2000-03-29,7.04,7.06,6.7,6.78,98185.0,66588.546
2000-03-30,6.78,7.14,6.75,6.94,92396.0,64317.064
2000-03-31,6.9,7.03,6.73,6.8,48362.0,33118.582
2000-04-03,6.5,6.82,6.5,6.54,45060.0,29918.034
2000-04-04,6.52,6.54,6.3,6.31,39847.0,25440.084
2000-04-05,6.3,6.45,6.28,6.4,21933.0,13978.294
2000-04-06,6.41,6.58,6.4,6.52,20894.0,13543.16
2000-04-07,6.55,6.65,6.5,6.6,24709.0,16242.489
2000-04-10,6.58,6.84,6.57,6.68,31748.0,21286.877
2000-04-11,6.68,6.75,6.45,6.49,22544.0,14864.022
2000-04-12,6.49,6.64,6.4,6.55,20760.0,13490.439
2000-04-13,6.62,6.8,6.58,6.72,34489.0,23156.501
2000-04-14,6.68,6.7,6.49,6.52,30170.0,19721.334
2000-04-17,6.49,6.49,6.21,6.33,41023.0,25891.226
2000-04-18,6.3,6.5,6.27,6.41,23360.0,14943.159
2000-04-19,6.45,6.5,6.38,6.43,19991.0,12823.757
2000-04-20,6.43,6.6,6.43,6.45,23764.0,15450.512
2000-04-21,6.46,6.67,6.45,6.55,39920.0,26276.334
2000-04-24,6.58,6.75,6.5,6.74,43467.0,28995.868
2000-04-25,6.79,6.82,6.6,6.68,22063.0,14733.018
2000-04-26,6.68,6.75,6.53,6.58,17919.0,11882.15
2000-04-27,6.61,6.61,6.33,6.37,22037.0,14191.683
2000-04-28,6.36,6.45,6.31,6.43,14422.0,9206.894
2000-05-08,6.5,6.53,6.3,6.36,17446.0,11076.209
2000-05-09,6.32,6.5,6.3,6.49,12075.0,7686.959
2000-05-10,6.49,6.64,6.33,6.49,44123.0,28886.473
2000-05-11,6.53,6.78,6.53,6.68,106921.0,71575.671
2000-05-12,6.72,6.97,6.67,6.94,151285.0,104078.587
2000-05-15,7.06,7.11,6.8,6.82,139811.0,96822.335
2000-05-16,6.85,7.05,6.77,7.01,88436.0,61420.329
2000-05-17,7.05,7.08,6.75,6.79,56710.0,39198.48
2000-05-18,6.78,7.27,6.66,7.22,136313.0,95868.639
2000-05-19,7.22,7.39,7.1,7.28,173222.0,125505.218
