Date,Open,High,Low,Close,Volume,Amount,TurnoverRate
2025-03-04,48.5,77.77,45.68,50.81,232894.93,1266359.196,0.754294
2025-03-05,46.0,49.07,44.88,45.55,166187.23,770775.169,0.538243
2025-03-06,45.59,52.68,44.77,48.49,181906.41,874349.501,0.589153
2025-03-07,45.1,46.04,43.61,43.73,144140.95,642961.801,0.46684
2025-03-10,43.68,43.69,40.69,40.7,93264.3,387838.635,0.302062
2025-03-11,39.79,39.79,38.88,39.41,79874.73,313861.219,0.258696
2025-03-12,39.29,39.77,39.02,39.39,57119.61,225119.464,0.184997
2025-03-13,39.22,40.44,39.01,39.75,61111.85,242744.255,0.197927
2025-03-14,39.28,39.5,38.9,39.41,47835.53,187649.214,0.154928
2025-03-17,39.42,39.96,39.36,39.65,37566.43,148965.617,0.121669
2025-03-18,39.86,40.5,39.37,40.21,53591.4,214742.082,0.17357
2025-03-19,40.01,40.46,39.88,39.96,41118.81,165079.021,0.133174
2025-03-20,39.81,40.19,39.53,39.56,35697.71,142274.435,0.115617
2025-03-21,39.4,39.4,38.38,38.55,43413.75,168405.893,0.140607
2025-03-24,38.38,38.68,37.01,37.69,33373.97,126410.896,0.108091
2025-03-25,37.99,38.29,37.82,38.06,20565.74,78242.2,0.066608
2025-03-26,38.05,38.1,37.61,38.08,17984.42,68241.079,0.058247
2025-03-27,37.87,38.45,37.5,38.26,24930.95,95103.072,0.080746
2025-03-28,38.26,38.28,37.43,37.51,21861.21,82611.166,0.070803
2025-03-31,37.69,38.6,37.42,38.6,35345.1,135130.774,0.114475
2025-04-01,38.3,38.55,38.22,38.51,22210.96,85187.009,0.071936
2025-04-02,38.35,38.76,38.25,38.38,19910.47,76747.327,0.064485
2025-04-03,38.0,39.69,37.85,39.67,49975.65,194940.187,0.16186
2025-04-07,37.5,37.8,35.7,35.7,37553.07,136396.857,0.121626
2025-04-08,34.9,36.23,32.97,34.05,40465.87,138924.431,0.13106
2025-04-09,34.0,34.0,30.68,33.68,32428.6,106157.104,0.105029
2025-04-10,34.18,35.0,34.03,34.54,27243.4,94273.44,0.088235
2025-04-11,34.0,34.41,33.8,34.09,22206.89,75743.078,0.071923
2025-04-14,34.39,34.92,34.39,34.72,20696.28,71871.967,0.067031
2025-04-15,34.79,37.11,34.61,37.05,54559.32,197969.863,0.176705
2025-04-16,36.5,38.0,36.0,37.22,52846.49,195451.768,0.171158
2025-04-17,36.8,38.0,36.4,37.43,36215.24,134812.501,0.117293
2025-04-18,36.94,37.12,35.07,35.71,42909.05,154352.874,0.1389729999999999
