Date,Open,High,Low,Close,Volume,Amount
2016-03-29,14.5,14.5,14.5,14.5,20.0,29.0
2016-03-30,14.44,14.44,14.44,14.44,10.0,14.44
2016-03-31,13.9,13.9,13.9,13.9,10.0,13.9
2016-04-01,13.88,13.88,13.88,13.88,10.0,13.88
2016-04-06,13.84,13.84,13.84,13.84,10.0,13.84
2016-04-11,13.75,13.77,13.74,13.74,510.0,701.39
2016-04-13,13.65,13.67,13.64,13.67,520.0,710.11
2016-04-22,13.12,13.12,12.62,12.62,20.0,25.74
2016-04-28,12.56,13.0,12.56,13.0,340.0,429.97
2016-04-29,13.0,13.0,12.35,12.35,100.0,129.04
2016-05-04,12.07,12.07,12.07,12.07,10.0,12.07
2016-05-05,11.69,12.38,11.65,12.06,320.0,377.63
2016-05-06,11.98,12.45,11.95,12.45,180.0,215.81
2016-05-10,12.0,12.62,12.0,12.02,140.0,169.04
2016-05-11,12.01,12.04,12.01,12.04,180.0,216.52
2016-05-12,12.0,12.0,12.0,12.0,100.0,120.0
2016-05-13,12.0,12.0,12.0,12.0,180.0,216.0
2016-05-17,11.99,11.99,11.99,11.99,90.0,107.91
2016-05-20,11.99,12.01,11.99,12.01,250.0,300.13
2016-05-23,12.01,12.05,12.01,12.05,110.0,132.36
2016-05-25,12.04,12.05,12.04,12.05,200.0,240.98
2016-05-30,12.05,12.09,12.05,12.09,190.0,229.41
2016-05-31,12.09,12.1,12.09,12.1,80.0,96.73
2016-06-02,12.08,12.1,12.0,12.1,150.0,181.31
2016-06-03,12.09,12.11,12.09,12.11,110.0,133.17
2016-06-06,12.11,12.11,12.11,12.11,100.0,121.1
2016-06-07,12.1,12.1,12.1,12.1,50.0,60.5
2016-06-08,12.1,12.1,12.1,12.1,40.0,48.4
2016-06-13,12.1,12.1,12.1,12.1,60.0,72.6
2016-06-16,12.1,12.1,12.1,12.1,20.0,24.2
2016-06-21,11.61,12.1,11.61,12.1,70.0,84.21
2016-06-22,12.1,12.63,12.1,12.63,390.0,479.25
2016-06-23,12.7,12.7,12.7,12.7,40.0,50.8
2016-06-28,12.15,12.15,12.11,12.11,80.0,96.95
2016-06-29,12.1,12.1,12.1,12.1,10.0,12.1
2016-06-30,12.1,12.2,12.1,12.2,40.0,48.51
2016-07-07,11.94,11.94,11.94,11.94,50.0,59.7
2016-07-08,12.11,12.25,12.11,12.25,420.0,510.53
2016-07-11,12.02,12.18,12.02,12.18,70.0,84.52
2016-07-12,12.18,12.18,12.02,12.1,640.0,774.35
2016-07-13,12.13,12.13,12.13,12.13,20.0,24.26
2016-07-18,12.14,12.14,12.14,12.14,90.0,109.26
2016-07-20,12.0,12.0,12.0,12.0,10.0,12.0
2016-08-02,12.04,12.04,12.04,12.04,20.0,24.08
2016-08-09,12.08,12.08,12.08,12.08,20.0,24.16
2016-08-22,11.82,11.82,11.75,11.75,20.0,23.57
2016-08-23,12.0,12.0,12.0,12.0,10.0,12.0
2016-08-25,12.0,12.12,12.0,12.12,90.0,108.68
2016-08-26,12.15,12.36,12.15,12.36,70.0,85.41
2016-09-08,12.0,12.3,11.8,12.3,80.0,95.3
2016-09-12,12.29,12.29,12.29,12.29,10.0,12.29
2016-09-13,12.02,12.02,9.22,11.11,1560.0,1616.83
2016-09-14,11.0,12.1,10.6,12.07,670.0,767.34
2016-09-19,11.56,12.18,10.5,12.1,12840.0,13584.74
2016-09-20,11.69,11.69,10.5,11.5,28750.0,30328.49
2016-09-21,11.07,11.15,10.64,11.15,350.0,385.1
2016-09-22,10.84,11.5,10.2,11.5,5000.0,5345.08
2016-09-23,11.26,11.26,11.0,11.2,50.0,55.62
2016-09-26,11.24,11.25,10.55,10.9,4280.0,4531.24
2016-09-27,10.66,10.86,10.5,10.86,20460.0,21699.53
2016-09-28,10.66,11.77,10.66,11.5,14140.0,15239.7
2016-09-29,11.3,11.6,11.3,11.6,20.0,22.9
2016-10-10,11.35,11.35,10.5,11.0,9540.0,10074.15
2016-10-11,11.09,11.11,10.65,11.08,12380.0,13250.08
2016-10-12,11.09,11.14,10.7,11.14,10920.0,11738.02
2016-10-13,10.72,11.08,10.7,11.08,12640.0,13577.45
2016-10-14,10.85,12.25,10.85,12.24,3360.0,3812.78
2016-10-17,12.25,12.31,12.11,12.27,270.0,330.56
2016-10-18,11.96,12.09,11.61,12.09,290.0,344.72
