symbol,name,industry,market,is_st,exchange,code
000001.SZ,平安银行,银行,主板,False,SZ,000001
000002.SZ,万  科Ａ,房地产开发,主板,False,SZ,000002
000004.SZ,*ST国华,未知行业,主板,True,SZ,000004
000006.SZ,深振业Ａ,房地产开发,主板,False,SZ,000006
000007.SZ,全新好,房地产服务,主板,False,SZ,000007
000008.SZ,神州高铁,交运设备,主板,False,SZ,000008
000009.SZ,中国宝安,综合行业,主板,False,SZ,000009
000010.SZ,美丽生态,工程建设,主板,False,SZ,000010
000011.SZ,深物业A,房地产开发,主板,False,SZ,000011
000012.SZ,南  玻Ａ,玻璃玻纤,主板,False,SZ,000012
000014.SZ,沙河股份,房地产开发,主板,False,SZ,000014
000016.SZ,深康佳Ａ,家电行业,主板,False,SZ,000016
000017.SZ,深中华A,珠宝首饰,主板,False,SZ,000017
000019.SZ,深粮控股,贸易行业,主板,False,SZ,000019
000020.SZ,深华发Ａ,光学光电子,主板,False,SZ,000020
000021.SZ,深科技,未知行业,主板,False,SZ,000021
000025.SZ,特  力Ａ,珠宝首饰,主板,False,SZ,000025
000026.SZ,飞亚达,珠宝首饰,主板,False,SZ,000026
000027.SZ,深圳能源,电力行业,主板,False,SZ,000027
000028.SZ,国药一致,医药商业,主板,False,SZ,000028
000029.SZ,深深房Ａ,房地产开发,主板,False,SZ,000029
000030.SZ,富奥股份,未知行业,主板,False,SZ,000030
000031.SZ,大悦城,房地产开发,主板,False,SZ,000031
000032.SZ,深桑达Ａ,工程建设,主板,False,SZ,000032
000034.SZ,神州数码,计算机设备,主板,False,SZ,000034
000035.SZ,中国天楹,环保行业,主板,False,SZ,000035
000036.SZ,华联控股,房地产开发,主板,False,SZ,000036
000037.SZ,深南电A,电力行业,主板,False,SZ,000037
000039.SZ,中集集团,通用设备,主板,False,SZ,000039
000042.SZ,中洲控股,房地产开发,主板,False,SZ,000042
000045.SZ,深纺织Ａ,光学光电子,主板,False,SZ,000045
000048.SZ,京基智农,农牧饲渔,主板,False,SZ,000048
000049.SZ,德赛电池,未知行业,主板,False,SZ,000049
000050.SZ,深天马Ａ,光学光电子,主板,False,SZ,000050
000055.SZ,方大集团,装修装饰,主板,False,SZ,000055
000056.SZ,皇庭国际,房地产服务,主板,False,SZ,000056
000058.SZ,深 赛 格,商业百货,主板,False,SZ,000058
000059.SZ,华锦股份,石油行业,主板,False,SZ,000059
000060.SZ,中金岭南,有色金属,主板,False,SZ,000060
000061.SZ,农 产 品,贸易行业,主板,False,SZ,000061
000062.SZ,深圳华强,电子元件,主板,False,SZ,000062
000063.SZ,中兴通讯,未知行业,主板,False,SZ,000063
000065.SZ,北方国际,工程建设,主板,False,SZ,000065
000066.SZ,中国长城,计算机设备,主板,False,SZ,000066
000068.SZ,华控赛格,环保行业,主板,False,SZ,000068
000069.SZ,华侨城Ａ,房地产开发,主板,False,SZ,000069
000070.SZ,特发信息,未知行业,主板,False,SZ,000070
000078.SZ,海王生物,医药商业,主板,False,SZ,000078
000088.SZ,盐 田 港,航运港口,主板,False,SZ,000088
000089.SZ,深圳机场,航空机场,主板,False,SZ,000089
000090.SZ,天健集团,房地产开发,主板,False,SZ,000090
000096.SZ,广聚能源,石油行业,主板,False,SZ,000096
000099.SZ,中信海直,航空机场,主板,False,SZ,000099
000100.SZ,TCL科技,光学光电子,主板,False,SZ,000100
000151.SZ,中成股份,贸易行业,主板,False,SZ,000151
000153.SZ,丰原药业,未知行业,主板,False,SZ,000153
000155.SZ,川能动力,电力行业,主板,False,SZ,000155
000156.SZ,华数传媒,文化传媒,主板,False,SZ,000156
000157.SZ,中联重科,工程机械,主板,False,SZ,000157
000158.SZ,常山北明,综合行业,主板,False,SZ,000158
000159.SZ,国际实业,石油行业,主板,False,SZ,000159
000166.SZ,申万宏源,证券,主板,False,SZ,000166
000301.SZ,东方盛虹,化学原料,主板,False,SZ,000301
000333.SZ,美的集团,家电行业,主板,False,SZ,000333
000338.SZ,潍柴动力,未知行业,主板,False,SZ,000338
000400.SZ,许继电气,电网设备,主板,False,SZ,000400
000401.SZ,金隅冀东,水泥建材,主板,False,SZ,000401
000402.SZ,金 融 街,房地产开发,主板,False,SZ,000402
000403.SZ,派林生物,未知行业,主板,False,SZ,000403
000404.SZ,长虹华意,家电行业,主板,False,SZ,000404
000407.SZ,胜利股份,燃气,主板,False,SZ,000407
000408.SZ,藏格矿业,化肥行业,主板,False,SZ,000408
000409.SZ,云鼎科技,未知行业,主板,False,SZ,000409
000410.SZ,沈阳机床,通用设备,主板,False,SZ,000410
000411.SZ,英特集团,医药商业,主板,False,SZ,000411
000415.SZ,渤海租赁,多元金融,主板,False,SZ,000415
000417.SZ,合百集团,商业百货,主板,False,SZ,000417
000419.SZ,通程控股,商业百货,主板,False,SZ,000419
000420.SZ,吉林化纤,化纤行业,主板,False,SZ,000420
000421.SZ,南京公用,燃气,主板,False,SZ,000421
000422.SZ,湖北宜化,化肥行业,主板,False,SZ,000422
000423.SZ,东阿阿胶,中药,主板,False,SZ,000423
000425.SZ,徐工机械,工程机械,主板,False,SZ,000425
000426.SZ,兴业银锡,有色金属,主板,False,SZ,000426
000428.SZ,华天酒店,旅游酒店,主板,False,SZ,000428
000429.SZ,粤高速Ａ,铁路公路,主板,False,SZ,000429
000430.SZ,ST张家界,旅游酒店,主板,True,SZ,000430
000488.SZ,ST晨鸣,造纸印刷,主板,True,SZ,000488
000498.SZ,山东路桥,工程建设,主板,False,SZ,000498
000501.SZ,武商集团,商业百货,主板,False,SZ,000501
000503.SZ,国新健康,未知行业,主板,False,SZ,000503
000504.SZ,*ST生物,未知行业,主板,True,SZ,000504
000505.SZ,京粮控股,农牧饲渔,主板,False,SZ,000505
000506.SZ,招金黄金,未知行业,主板,False,SZ,000506
000507.SZ,珠海港,航运港口,主板,False,SZ,000507
000509.SZ,华塑控股,光学光电子,主板,False,SZ,000509
000510.SZ,新金路,化学原料,主板,False,SZ,000510
000513.SZ,丽珠集团,未知行业,主板,False,SZ,000513
000514.SZ,渝 开 发,房地产开发,主板,False,SZ,000514
000516.SZ,国际医学,未知行业,主板,False,SZ,000516
000517.SZ,荣安地产,房地产开发,主板,False,SZ,000517
